id,title,url,completion_ratio
4385642,Batch Processing with Spring Batch & Spring Boot,/course/data-batch-processing-with-spring-batch-spring-boot-spring-framework/learn/,0
3698214,Event-Driven Microservices CQRS SAGA Axon Spring Boot,/course/spring-boot-microservices-cqrs-saga-axon-framework/learn/,0
4369754,Building Modern Distributed Systems with Java,/course/building-modern-distributed-systems-with-java/learn/,0
1426704,Project Development Using Spring Boot,/course/end-to-end-java-project-development-using-spring-boot/learn/,0
1417610,Unit Testing and Test Driven Development in Python,/course/unit-testing-and-tdd-in-python/learn/,0
2863390,Test Driven Development (TDD) - Beginners Essentials course,/course/draft/2863390/learn/,0
3611296,Clean Code,/course/writing-clean-code/learn/,0
4312260,Complete PySpark Developer Course (Spark with Python),/course/pyspark-developer-course/learn/,0
980798,Spark and Python for Big Data with PySpark,/course/spark-and-python-for-big-data-with-pyspark/learn/,0
3990068,Domain Driven Design & Microservices for Architects,/course/domain-driven-design-and-microservices/learn/,0
2093784,Refactoring to Design Patterns by Example,/course/refactoring-to-patterns/learn/,0
2334812,Microservices: Designing Highly Scalable Systems,/course/introduction-to-microservices/learn/,0
2304734,The Complete Guide to Becoming a Software Architect,/course/the-complete-guide-to-becoming-a-software-architect/learn/,0
2064941,SOLID Principles of Object-Oriented Design and Architecture,/course/solid-principles-object-oriented-design-architecture/learn/,0
2249104,Domain Driven Design: Complete Software Architecture Course,/course/domain-driven-design-complete-software-architecture-course/learn/,0
2521572,SOLID Principles: Introducing Software Architecture & Design,/course/solid-design/learn/,0
3592312,The Complete Design Interview Course,/course/the-complete-design-interview-course/learn/,0
1748446,Preparing for the System Design Interviews V2 - End to End,/course/preparing-for-system-design-interviews/learn/,2
2579842,Software Architecture: REST API Design - The Complete Guide,/course/rest-api-design-the-complete-guide/learn/,0
1159654,How To Become An Outstanding Solution Architect,/course/how-to-become-an-outstanding-solution-architect/learn/,2
1485968,Setup Development Environment for Python 3 and Pyspark 3,/course/draft/1485968/learn/,0
2682210,AWS Certified Data Analytics Specialty Practice Exams,/course/aws-certified-data-analytics-specialty-practice-exams-amazon/learn/,0
856526,The Build a SAAS App with Flask Course,/course/the-build-a-saas-app-with-flask-course/learn/,0
946194,Tableau 2022 Advanced: Master Tableau in Data Science,/course/tableau10-advanced/learn/,0
1311030,Process Flowcharts & Process Mapping - The Beginner's Guide,/course/process-mapping-process-flowcharts/learn/,0
1919064,The Complete Hands-On Introduction to Apache Airflow,/course/the-complete-hands-on-course-to-master-apache-airflow/learn/,0
1699208,The Flask Mega-Tutorial (Python Web Development),/course/flask-mega-tutorial/learn/,10
970600,REST APIs with Flask and Python in 2022,/course/rest-api-flask-and-python/learn/,0
1546884,Python and Flask Bootcamp: Create Websites using Flask!,/course/python-and-flask-bootcamp-create-websites-using-flask/learn/,0
2504438,Apache Airflow: The Hands-On Guide,/course/the-ultimate-hands-on-course-to-master-apache-airflow/learn/,1
2327536,The Ultimate Flask Course,/course/the-ultimate-flask-course/learn/,0
2692016,LeetCode In Python: 50 Algorithms Coding Interview Questions,/course/leetcode-in-python-50-algorithms-coding-interview-questions/learn/,1
3634866,Pragmatic System Design,/course/pragmatic-system-design/learn/,5
1535678,Java Programming for Complete Beginners,/course/java-programming-tutorial-for-beginners/learn/,20
1733972,Monitoring and Alerting with Prometheus,/course/monitoring-and-alerting-with-prometheus/learn/,46
3016040,Hands On Presto Mastery - Learn by doing!,/course/the-ultimate-hands-on-presto-course/learn/,0
4175968,Writing production-ready ETL pipelines in Python / Pandas,/course/writing-production-ready-etl-pipelines-in-python-pandas/learn/,0
4239988,Data Engineering using Kafka and Spark Structured Streaming,/course/data-engineering-using-kafka-and-spark-structured-streaming/learn/,0
1520628,AWS Certified Solutions Architect Associate Practice Exams,/course/aws-certified-solutions-architect-associate-amazon-practice-exams-saa-c03/learn/,17
4015622,100 Days Of Code - 2023 Web Development Bootcamp,/course/100-days-of-code-web-development-bootcamp/learn/,1
2723898,Case Studies for System Design Interviews,/course/case-studies-for-system-design-interviews/learn/,0
802366,REST API Design Development & Management,/course/rest-api/learn/,30
3848374,Data Engineering Essentials using SQL Python and PySpark,/course/data-engineering-essentials-sql-python-and-spark/learn/,0
359550,Master Object Oriented Design in Java - Homework + Solutions,/course/mastering-object-oriented-design-in-java/learn/,5
2241936,Java Application Performance Tuning and Memory Management,/course/java-application-performance-and-memory-management/learn/,10
684824,Spring Framework Master Class - Java Spring the Modern Way,/course/spring-tutorial-for-beginners/learn/,15
1078208,Learn Spring Boot in 100 Steps - No 1 Java Framework,/course/spring-boot-tutorial-for-beginners/learn/,2
